title,episodes,rating,rank,popularity,start_date,end_date,year,synopsis,media_type,source,genres,studios
Saredo Tsumibito wa Ryuu to Odoru,12,5.81,11891.0,3315,2018-04-06,2018-06-22,2018.0,"It is a world replete with dragons and Jushiki sorcerers. Jushiki is a devastatingly powerful formula that can alter the laws of physics, capable of creating enormous TNT explosives or poisonous gas through plasma and nuclear fusion. A down-on-his-luck sorcerer named Gayus joins forces with the beautiful but cruel Jushiki practitioner, Gigina, as bounty hunters pursuing dragons. Then one day, they are presented with an odd request: to serve as security guards for a grand festival put on by Mouldeen, the ruler of their kingdom. It is then that a mysterious serial killing of Jushiki sorcerers begins.

(Source: TBS Global Business)",tv,light_novel,"Action, Drama, Fantasy, Sci-Fi",Seven Arcs Pictures
Abstractions Void,1,6.14,,21161,2023-03-24,2023-03-24,2023.0,Music video for the song Abstractions Void by KOKO.,music,original,Music,Unknown
Mushoku Tensei: Isekai Ittara Honki Dasu,11,8.33,291.0,84,2021-01-11,2021-03-22,2021.0,"Despite being bullied, scorned, and oppressed all of his life, a 34-year-old shut-in still found the resolve to attempt something heroic—only for it to end in a tragic accident. But in a twist of fate, he awakens in another world as Rudeus Greyrat, starting life again as a baby born to two loving parents.

Preserving his memories and knowledge from his previous life, Rudeus quickly adapts to his new environment. With the mind of a grown adult, he starts to display magical talent that exceeds all expectations, honing his skill with the help of a mage named Roxy Migurdia. Rudeus learns swordplay from his father, Paul, and meets Sylphiette, a girl his age who quickly becomes his closest friend.

As Rudeus' second chance at life begins, he tries to make the most of his new opportunity while conquering his traumatic past. And perhaps, one day, he may find the one thing he could not find in his old world—love.

[Written by MAL Rewrite]",tv,light_novel,"Adventure, Drama, Ecchi, Fantasy, Isekai, Reincarnation",Studio Bind
Attraction,1,5.95,11128.0,12017,2010-11-16,2010-11-16,2010.0,"Interactive anti-smoking anime. Directed by Koji Morimoto (best known for Studio 4°C works), this ONA is available in Japanese, English, and French.",ona,original,Mystery,Studio 4°C
Gunslinger Stratos The Animation,12,6.05,10645.0,2860,2015-04-04,2015-06-20,2015.0,"A.D. 2115—the island nation once called Japan is now known as the ""17th Far East Imperial City Management District.""

The citizens were promised a life of peace in exchange for some of the comfort they were used to having. People believed their lives would never change and tomorrow will be the same as today. No one suspected the impending doom which their society was about to face.

""Degradation""—a rare disease which led to the total disintegration of the human body to a mere pile of sand was slowly but surely spreading throughout the world.

Tohru Kazasumi, an ordinary student becomes embroiled in a multi universal battle between his world and the parallel world of ""Frontier S (Stratos)."" This meant that Tohru must fight himself from an alternate world.

Their futures collide as their paths cross.

Will both worlds ever find peace?

(Source: Aniplex USA)",tv,game,"Action, Sci-Fi",A-1 Pictures
Sword Art Online: Alicization,24,7.58,1856.0,149,2018-10-07,2019-03-31,2018.0,"The Soul Translator is a state-of-the-art full-dive interface which interacts with the user's Fluctlight—the technological equivalent of a human soul—and fundamentally differs from the orthodox method of sending signals to the brain. The private institute Rath aims to perfect their creation by enlisting the aid of Sword Art Online survivor Kazuto Kirigaya. He works there as a part-time employee to test the system's capabilities in the Underworld: the fantastical realm generated by the Soul Translator. As per the confidentiality contract, any memories created by the machine in the virtual world are wiped upon returning to the real world. Kazuto can only vaguely recall a single name, Alice, which provokes a sense of unease when mentioned in reality.

When Kazuto escorts Asuna Yuuki home one evening, they chance upon a familiar foe. Kazuto is mortally wounded in the ensuing fight and loses consciousness. When he comes to, he discovers that he has made a full-dive into the Underworld with seemingly no way to escape. He sets off on a quest, seeking a way back to the physical world once again.

[Written by MAL Rewrite]",tv,light_novel,"Action, Adventure, Fantasy, Video Game",A-1 Pictures
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,12,8.35,282.0,274,2020-07-10,2020-09-25,2020.0,"Resolved to become a more independent person, Yukino Yukinoshita decides to smoothen things out with her parents, and the first step toward achieving that goal is to prove herself.

As graduation draws closer for the third-year students, Iroha Isshiki—the president of the student council—requests a graduation prom in collaboration with the Volunteer Service Club. Yukino accepts this request of her own volition, hoping to use it as a chance to demonstrate her self-reliance, but what lies ahead of her may prove to be a hard hurdle to cross.

Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan revolves around the graduation prom as emotions are poured into the preparations for the event. At the same time, a chance for the Volunteer Service Club members to better understand each other presents itself. And thus, Hachiman Hikigaya's hectic and bittersweet high school life begins to draw to a close.

[Written by MAL Rewrite]",tv,light_novel,"Comedy, Love Polygon, Romance, School",feel.
Tsubasa: Tokyo Revelations,3,8.27,356.0,2367,2007-11-16,2008-03-17,2007.0,"Continuing their journey from Record Country (the place that held the book of memories), Syaoran and company land into Tokyo Country, a blood-filled country under war from opposing factions for natural resources and survival. While reluctantly involved in the race to live, the group faces their own problems as certain revelations are made, changing their journey forever.

A shocking betrayal and a battle that risks all of their lives. After this revelation, they will never be the same again.",ova,manga,"Action, Adventure, Drama, Fantasy, Romance, Shounen",Production I.G
ef: A Tale of Memories. - Recollections,1,7.25,3482.0,6310,2008-09-26,2008-09-26,2008.0,"Asou Renji comes back at the station with Chihiro, after the events of ef - a tale of memories. They recollect various moments in this 'summary' of the first season of ef, with special new intermissions.

(Source: Animeka)",special,visual_novel,"Drama, Love Polygon, Mystery, Romance",Shaft
Romantic Killer,12,7.91,907.0,956,2022-10-27,2022-10-27,2022.0,"Anzu Hoshino needs only three things in her life: video games, chocolate, and her beloved cat. Unlike other high school girls, Anzu has no time for or interest in romance. But as she begins playing a poorly programmed 3D otome game, a bizarre flying wizard named Riri emerges from the screen and calls Anzu ""subject one,"" the first person who will experience a dating game harem storyline in real life.

Despite Anzu's fiery protests, Riri confiscates her favorite things to force her to focus on love. Riri orchestrates a series of unlucky incidents and romantic cliches that lead her to meet Tsukasa Kazuki, one of the most attractive boys in her school. Still enraged, Anzu is adamant about resisting Tsukasa's charm. As all the ridiculous fabricated scenarios help Anzu warm up to Tsukasa's pleasant nature, Riri throws other stereotypical pretty boys her way—and avoiding romance quickly becomes almost impossible.

[Written by MAL Rewrite]",ona,manga,"Comedy, Parody, Reverse Harem, Romance, Shounen, Supernatural",domerica
Highlander: The Search for Vengeance,1,6.73,6549.0,5399,2008-07-05,2008-07-05,2008.0,"Colin MacLeod, the immortal Scottish Highlander, travels with the wise-cracking ghost Amergan in search of the immortal despot Marcus Octavius, who killed Colin's lover on the Celtic plains centuries earlier. The once great city of New York is now submerged under water, with only one dominant fortress towering over the sea, the fortress of Marcus Octavius. MacLeod is torn between saving the survivors of New York and hunting down his nemesis.

(Source: ANN)",movie,other,"Action, Horror, Sci-Fi",Madhouse
One Piece: Romance Dawn Story,1,7.33,3008.0,3307,2008-11-24,2008-11-24,2008.0,"The Straw Hat Pirates, searching for the great passage ""Grand Line"", are in trouble when their food runs out! Luffy, searching for food on his own, finds a ship belonging to the pirate, Gally, and takes it over!! He lands at a nearby town...

Luffy was attacked by a young girl, Silk, who mistook him for a member of the other pirate gang. As the two eat a meal, they tell their stories. Meanwhile, Gally and his band are burning with anger at Luffy, demanding payment from the town's defenseless citizens...!!

(Source: Jumpland)",ova,manga,"Action, Adventure, Fantasy, Shounen",Toei Animation
Code Geass: Fukkatsu no Lelouch,1,7.91,898.0,807,2019-02-09,2019-02-09,2019.0,"Since the demise of the man believed to be Britannia's most wicked emperor one year ago, the world has enjoyed an unprecedented peace under the guidance of the United Federation of Nations. However, this fragile calm is shattered when armed militants successfully kidnap former princess Nunnally vi Britannia and Suzaku Kururugi, the chief advisor of the Black Knights, sparking an international crisis.

The powerful and untrustworthy Kingdom of Zilkhstan is accused of orchestrating their capture. To investigate, world authorities send Kallen Stadtfeld and her associates on a covert operation into the country. There, they encounter the immortal witch C.C., who is on a mission to complete the resurrection of the man responsible for the greatest revolution in history—a legend who will rise up, take command, and save the world from peril once again.

[Written by MAL Rewrite]",movie,original,"Drama, Mecha, Military, Sci-Fi, Super Power",Sunrise
Eromanga-sensei,12,6.31,9176.0,302,2017-04-09,2017-06-25,2017.0,"One year ago, Sagiri Izumi became step-siblings with Masamune Izumi. But the sudden death of their parents tears their new family apart, resulting in Sagiri becoming a shut-in which cut her off from her brother and society.

While caring for what's left of his family, Masamune earns a living as a published light novel author with one small problem: he's never actually met his acclaimed illustrator, Eromanga-sensei, infamous for drawing the most lewd erotica. Through an embarrassing chain of events, he learns that his very own little sister was his partner the whole time!

As new characters and challenges appear, Masamune and Sagiri must now face the light novel industry together. Eromanga-Sensei follows the development of their relationship and their struggle to become successful; and as Sagiri slowly grows out of her shell, just how long will she be able to hide her true persona from the rest of the world?

[Written by MAL Rewrite]",tv,light_novel,"Comedy, Ecchi, Otaku Culture, Romance",A-1 Pictures
Final Fantasy: Unlimited,25,6.21,9735.0,4101,2001-10-02,2002-03-26,2001.0,"Years ago, the opening of an interdimensional portal released two beasts into the skies over the Sea of Japan, visible to all the countries along the coast. After destroying the naval patrol sent to investigate the disturbance, the two beasts then turned against each other.

Witnessing the fight from Japan, scientists Joe and Marie Hayakawa were sucked into the rift. Upon returning to Earth, they compiled and published the academic findings from their voyage in a legendary book titled ''Day of Succession''. Attempting a second expedition to that other dimension twelve years later, the couple have not returned.

Twins Ai and Yu Hayakawa decide to set forth in search of their parents and the mysterious Wonderland they studied. In the ruins of an abandoned subway station, the two wait for a train to take them to the world beyond. On board they meet Lisa Pacifist, who quickly decides to aid the two in the search for their missing family. Can the three of them manage to find Joe and Marie?

[Written by MAL Rewrite]",tv,game,"Action, Adventure, Fantasy, Sci-Fi",Gonzo
The Reflection,12,5.12,14131.0,4643,2017-07-22,2017-10-07,2017.0,"After the Reflection, some of the people in all parts of the world are discovered with super powers. Some become heroes, and others villains. How did the Reflection happen? What was the cause of it? With many unsolved mysteries, the world is led into turmoil.",tv,original,"Action, Super Power",Studio Deen
Log Horizon: Entaku Houkai,12,7.08,4545.0,1049,2021-01-13,2021-03-31,2021.0,"Third season of Log Horizon.

It's been a year since Shiroe and his friends were trapped in Akiba due to the Catastrophe. Their forging of the Round Table has brought order and prosperity to its people. But fracturing political alliances and the constant menace of the Genius monsters threaten to destabilize all they've fought for and built. Can faith be restored and they persevere, or is its destruction truly inevitable?

(Source: Funimation)",tv,light_novel,"Action, Adult Cast, Adventure, Fantasy, Video Game",Studio Deen
Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,1,8.13,,3137,2021-10-21,2021-10-21,2021.0,"Every Thursday, Shuchiin Academy student council secretary Yuu Ishigami can be found in a state of anxiety. He counts down the hours until he can escape to the student council chamber to read the latest chapter of the popular seinen manga series, ""Momo Doesn't Think."" Joining Ishigami in his weekly reading, student council president Miyuki Shirogane swiftly grows excited at the news of a third season of the manga's anime adaptation.

However, it is only a matter of time before vice president Kaguya Shinomiya discovers what has been engrossing the two boys. With the stigma of being labeled an otaku looming over his head, Shirogane must do everything he can to keep his embarrassing secret from coming to light.

[Written by MAL Rewrite]",pv,manga,"Comedy, School, Seinen",A-1 Pictures
Oda Nobuna no Yabou,12,7.35,2908.0,904,2012-07-09,2012-09-24,2012.0,"High school student Yoshiharu Sagara wakes up and finds himself in the middle of a raging Sengoku period battle. He is saved by the legendary Hideyoshi Toyotomi, but at the cost of the hero's life. With his dying breath, the warrior pleads for Yoshiharu to become a feudal lord in his place. Now that the course of history has been changed, Yoshiharu pledges to keep the timeline from diverging any further. Yet, after rescuing Nobuna Oda—whom he discovers is actually the fabled Nobunaga Oda's female counterpart—Yoshiharu realizes he has been transported to an alternate reality where most of Japan's historical warlords are now cute girls!

To set things right and find a way back home, Yoshiharu agrees to become one of Nobuna's retainers and assist her in a conquest of Japan. As Nobuna initiates her campaign, Yoshiharu discovers that the history he learned from playing the video game ""Nobunaga's Ambition"" allows him to predict future events and turn the tide of war. Using this invaluable gift to aid the Oda clan's beautiful generals, Yoshiharu hopes to help his new lord fulfill her dream and win the hearts of women everywhere.

[Written by MAL Rewrite]",tv,light_novel,"Action, Comedy, Harem, Historical, Military, Romance, Time Travel","Madhouse, Studio Gokumi"
Fugou Keiji: Balance:Unlimited,11,7.51,2147.0,553,2020-04-10,2020-09-25,2020.0,"Daisuke Kanbe, a man of extraordinary wealth, is assigned to the Modern Crime Prevention Headquarters as a detective. It is there that he gets partnered with Haru Katou, a humane detective who values justice above all. The two are polar opposites, and their morals clash time and time again. Haru despises Daisuke for using monetary wealth to solve cases, as he believes that money is not everything. They will have to combine their efforts, however, to solve the mysteries that are coming their way.

[Written by MAL Rewrite]",tv,novel,"Adult Cast, Detective, Mystery",CloverWorks
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,1,7.09,4464.0,7040,1993-07-24,1993-07-24,1993.0,"By finding a rare Action Kamen card, Shinnosuke Nohara and his family end up being chosen to go to a parallel world and help foil an alien invasion that is occurring over there. 

(Source: ANN)",movie,4_koma_manga,"Action, Adventure, Comedy, Seinen",Shin-Ei Animation
Taishou Roman,1,6.87,,14503,2021-09-16,2021-09-16,2021.0,Music video for the song Taishou Roman by YOASOBI.,music,novel,"Music, Romance",Shaft
TWO-MIX: White Reflection,1,6.76,,11596,1997-03-13,1997-03-13,1997.0,"A music video to Two-Mix's ""White Reflection""; the group, in animated form, notices a strange light and follows it to various locations.",music,music,Music,OLM
Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi,1,6.69,6846.0,4859,2015-10-26,2015-10-26,2015.0,Extra episode of Nagato Yuki-chan no Shoushitsu bundled with the limited edition of the 9th manga volume.,ova,manga,"Comedy, Seinen",Satelight
Miss Monochrome The Animation 2,13,6.51,7973.0,5300,2015-07-03,2015-09-25,2015.0,"The Ultra Super Pictures Special Stage event announced at AnimeJapan 2015 on Saturday that the Miss Monochrome television anime series will receive a second season. The season will run within the 30-minute Ultra Super Anime Time block beginning on July 3, 2015.

(Source: ANN)",tv,original,"Comedy, Idols (Female), Music","SANZIGEN, LIDENFILMS"
Kowloon Generic Romance,13,7.34,2935.0,1724,2025-04-05,2025-06-28,2025.0,"With its flickering streetlights, moldy back alleys, and noisy populace, the Second Kowloon Walled City, despite the squalor of its already-demolished predecessor, evokes a special kind of nostalgia that its residents find endearing. Amidst the walls of this fading yet beloved landscape lives Reiko Kujirai, a 32-year-old realtor deeply in love with her coworker, Hajime Kudou, who is two years her junior. Though they have their differences, the two get along well enough to experience the joys of the walled city together.

However, everything starts to fall apart when Kudou, half-asleep, suddenly kisses Kujirai—seemingly reciprocating the feelings she has yet to confess. But when Kudou explains that he had mistaken her for someone else, Kujirai finds herself drawn into a series of events that lead her to a past she cannot remember.

[Written by MAL Rewrite]",tv,manga,"Adult Cast, Mystery, Romance, Sci-Fi, Seinen",Arvo Animation
Persona 5 the Animation,26,6.45,8344.0,1007,2018-04-08,2018-09-30,2018.0,"Ren Amamiya, a new transfer student at Shujin Academy, is sent to Tokyo to live with his family friend Sojiro Sakura after wrongly being put on probation for defending a woman from sexual assault. While on the way to attend his first day at his new school, Ren notices a strange app has appeared on his phone, transferring him to a world known as the Metaverse, which contains people's ""shadows"": distorted depictions of their true selves. In the Metaverse, he awakens his Persona, a power from deep within that gives him the strength to fight the shadows. With the help of similarly troubled students, he forms the Phantom Thieves of Hearts, attempting to save people from their sinful desires by ""taking their heart,"" making evildoers regret their actions and turn over a new leaf. The group's reputation continues to grow explosively, bringing along fame both positive and negative.

However, during the peak of their popularity, Ren gets captured and taken into custody. Here, he wakes up to a harsh interrogation, but this is cut short by the arrival of Sae Niijima—a prosecutor seeking answers. Just how will she react to his story, and what will become of the Phantom Thieves? 

[Written by MAL Rewrite]",tv,game,"Action, School, Super Power",CloverWorks
ACCA: 13-ku Kansatsu-ka - Regards,1,7.15,4100.0,5589,2020-02-14,2020-02-14,2020.0,"The new order of ACCA will soon hold its first-anniversary celebration. To ensure every district is prepared for the festival, Jean Otus—acting as a representative for ACCA's inspection department—is called to travel across the Kingdom of Dowa and help with the arrangements. However, he feels that in times of peace, he cannot relate to his subordinate Parrot, who believes that another betrayal against Dowa is near certain.

Meanwhile, work leaves Jean no time to dedicate to his little sister Lotta and the unexpected predicament she seems to be hiding from him. Their best friend, Niino, decides to involve himself and looks for a way to support Lotta. Although Jean believes that Dowa is in no immediate danger, he must ease Parrot's suspicions before the festival and wait for Lotta to open up to him on her own.

[Written by MAL Rewrite]",ova,manga,"Adult Cast, Detective, Drama, Mystery, Seinen",Madhouse
Ousama Game The Animation,12,5.08,14198.0,1051,2017-10-05,2017-12-21,2017.0,"It can be rough transferring to a new school—even more so if you do not want to make any friends, like Nobuaki Kanazawa. But the reason for his antisocial behavior soon becomes clear when his class receives a text from someone called ""The King."" Included are instructions for the ""King's Game,"" and all class members must participate. Those who refuse to play, quit halfway, or do not follow an order in the allotted time of 24 hours will receive a deadly punishment.

Having played the game before and watched as those around him died, Nobuaki tries to warn his clueless classmates. Unfortunately, they only believe him after the King's Game claims its first casualties. Stuck in a horrific situation with no chance of escape, Nobuaki has a choice: put his own survival above those around him, or do what he could not before and save his classmates.

[Written by MAL Rewrite]",tv,novel,"Drama, Gore, High Stakes Game, Horror, Mystery, School, Survival, Suspense",Seven
Blue Reflection Ray Special,1,5.8,11911.0,12978,2021-07-03,2021-07-03,2021.0,Recap of the first 12 episodes of Blue Reflection Ray.,tv_special,game,"Action, Mahou Shoujo, School",J.C.Staff
A.I.C.O. Incarnation,12,6.55,7683.0,2041,2018-03-09,2018-03-09,2018.0,"In 2035, an incident known as “The Burst” occurs at a Japanese research facility,  giving birth to the rapidly expanding, consuming, and self-replicating ""Matter."" Snaking its way through the remains of dams and military facilities in the Kurobe Gorge, the hostile Matter is besieged by task forces trying to prevent it from reaching the ocean and mercenaries seeking the truth behind its existence.

Aiko Tachibana lives under constant medical surveillance after being rescued from the Matter. She spends her days waiting out her recovery by making paper planes. Soon, her daily life at school is disturbed by the arrival of transfer student Yuuya Kanzaki, who proceeds to point out a number of inconsistencies regarding her body. Why is she never injured, and why does she suddenly no longer need her wheelchair? He claims that there is more to her existence than she has been led to believe, and that she alone holds the key to ending The Burst.

With many factions now interested in Aiko, she and Yuuya must gather allies and embark on a dangerous pilgrimage into the heart of the infested gorge before the net can close around them. To escape the conspiracy moving against them, the pair must face off against the Matter—an enemy that flows like water.

[Written by MAL Rewrite]",ona,original,"Action, Sci-Fi",Bones
Digimon Adventure: Last Evolution Kizuna,1,8.19,454.0,3154,2020-02-21,2020-02-21,2020.0,"As the Chosen Children and their partner Digimon live happily together in the human world, Taichi Yagami and Yamato Ishida, alongside their friends, dedicate themselves to maintaining this hard-earned peace. Though united by this innate responsibility, each one has already started to take their first steps toward a future beyond being a Chosen Child. 

However, this new journey is interrupted by the appearance of Menoa Bellucci, an American professor specializing in Digimon research. She bears news of several Chosen Children from around the world being found comatose, with their partner Digimon nowhere to be found. Menoa's investigations indicate that a new breed of Digimon is behind the alarming phenomenon: Eosmon, who hides within the internet's depths. 

To succeed in this mission, the team must endeavor through the growing distance between them and band together one last time.

[Written by MAL Rewrite]",movie,original,"Action, Adventure, Comedy, Drama",Yumeta Company
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,12,7.81,1132.0,2294,2018-04-03,2018-06-26,2018.0,"For over a century and a half, two interstellar states have wrested for control of the Milky Way. The Galactic Empire, an absolute monarchy ruled by Kaiser Friedrich IV and an entrenched nobility, seeks to suppress the rebels daring to oppose the inviolable crown. The Free Planets Alliance, a representative democracy led by a corrupt High Council, degenerates as its elected leaders⁠ use war and conflict as a way to win popular support.

But this long-standing stalemate between the Empire and the Alliance ends with the rise of two opposing military geniuses. Reinhard von Lohengramm, a minor noble and High Admiral of the Empire through his strategic brilliance and his sister's position as the favored concubine of the Kaiser, dreams of conquering the galaxy and uniting mankind under his iron fist. Meanwhile, Yang Wen-li of the Alliance, an avid historian and reluctant commodore hailed as the Hero of El Facil, uses his tactical prowess to navigate around his leaders' incompetence—and to carve the path to lasting peace. As the war rages on, Reinhard and Yang each strive for their ideals and to secure their place among the stars as the leaders of a new era of galactic heroes.

[Written by MAL Rewrite]",tv,novel,"Adult Cast, Drama, Military, Sci-Fi, Space",Production I.G
Evangelion Movie 2: Ha,1,8.3,317.0,423,2009-06-27,2009-06-27,2009.0,"When the threat of the Angel menace escalates, mankind's defense force is pushed to its limits, with NERV at the forefront of the struggle. Shinji Ikari and his partner Rei Ayanami are assisted by two new pilots: the fiery Asuka Langley Shikinami and the mysterious Mari Illustrious Makinami.

With the aid of their mechanized Evangelion units, equipped with weapons perfect for engaging their monstrous opponents, the four young souls fight desperately to protect their loved ones and prevent an impending apocalypse. But when startling secrets are brought to light, will the heroes' greatest challenge prove to be the monsters...or humanity itself?

[Written by MAL Rewrite]",movie,original,"Drama, Mecha, Psychological, Sci-Fi, Suspense",Khara
Junjou Romantica 2,12,7.67,1520.0,1466,2008-10-12,2008-12-28,2008.0,The second part of Junjou Romantica continuing the story.,tv,manga,"Adult Cast, Boys Love, Comedy, Drama",Studio Deen
Walkure Romanze,12,6.31,9224.0,1776,2013-10-07,2013-12-23,2013.0,"Taking place at Winford Academy located in an old town called Helen's Hill, the story is all about knights and the sport of jousting. At this school, students learn how to become knights, ride horses and joust properly. The main character is a young man named Takahiro Mizuno who was training to become a knight and jouster but after suffering an injury he dropped out of the knight program and joined the begleiter (assistant) program instead. Due to his animal handling skills and former experience as a jouster, this makes him a hot commodity. Multiple beautiful girls in the school want him to become their personal begleiter, though Takahiro always refuses their offers.

One day a bizarre accident causes his friend, Mio Kisaski, to be challenged to a jousting duel despite her not actually being a knight. Takahiro agrees to become her temporary begleiter, but that ends up only being the beginning of their partnership as she enrolls in the annual tournament.",tv,visual_novel,"Ecchi, Harem, Romance, School, Sports",8bit
Shaman King (2021),52,6.91,5463.0,990,2021-04-01,2022-04-21,2021.0,"Shamans are extraordinary individuals with the ability to communicate with ghosts, spirits, and gods, which are invisible to ordinary people. The Shaman Fight—a prestigious tournament pitting shamans from all over the world against each other—is held every five hundred years, where the winner is crowned Shaman King. This title allows the current incumbent to call upon the Great Spirit and shape the world as they see fit.

Finding himself late for class one night, Manta Oyamada, an ordinary middle school student, decides to take a shortcut through the local cemetery. Noticing him, a lone boy sitting on a gravestone invites Manta to stargaze with ""them."" Realizing that ""them"" refers to the boy and his ghostly friends, Manta flees in terror. Later, the boy introduces himself as You Asakura, a Shaman-in-training, and demonstrates his powers by teaming up with the ghost of six-hundred-year-old samurai Amidamaru to save Manta from a group of thugs. You befriends Manta due to his ability to see spirits, and with the help of Amidamaru, they set out to accomplish You's goal of becoming the next Shaman King.

[Written by MAL Rewrite]",tv,manga,"Action, Adventure, Shounen, Supernatural",Bridge
Aria the Origination,13,8.48,172.0,1848,2008-01-08,2008-04-01,2008.0,"In the 24th century on the planet Aqua, three girls—Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta—continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia—Alicia Florence, Athena Glory, and Akira E. Ferrari—who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in.

As these three young girls experience both the joys and hardships of life, they do their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice.

[Written by MAL Rewrite]",tv,manga,"Iyashikei, Sci-Fi, Shounen, Slice of Life",HAL Film Maker
MÄR,102,7.27,3369.0,3346,2005-04-03,2007-03-25,2005.0,"Dreaming of a magical world every night, the young Toramizu Ginta yearns to be able to go there. With only his friend Koyuki believing in his dreams, Ginta remains positive despite the slander he receives from others over his dreams. But his wishes are answered, as one day a large door appears in front of Ginta, summoning him to the land of MAR Heaven. In this land, the weapons known as ARMS exist. While initially Ginta greatly enjoyed the discovery of this magical world, he soon learns of the terrible wars that have once plagued MAR Heaven and the upcoming war that may soon appear.",tv,manga,"Action, Adventure, Comedy, Fantasy, Isekai, Shounen",SynergySP
Nanaka 6/17 Special,1,6.54,7785.0,12202,2003-06-17,2003-06-17,2003.0,Unaired series episode included in the DVD release.,special,manga,"Comedy, Drama, Romance, Shounen",J.C.Staff
Granblue Fantasy The Animation Season 2,12,6.76,6377.0,2874,2019-10-05,2019-12-28,2019.0,"On the run from the Erste Empire, Gran and the crew of the Grandcypher receive an offer to negotiate a ceasefire. Meeting at the neutral territory of Albion Citadel, they are welcomed and hosted by Vira Lillie: current Lord Commander of Albion and a friend of Katalina Alize from her officer training at Albion. Imperial General Furias grants the Skyfarers an official pardon, but fails to defuse the tense situation.

Given time to unwind, the Skyfarers attend a gala hosted by Vira to celebrate the arrival of the crew. However, tensions run high, as Furias and the Erste delegation remain at Albion even after the negotiations conclude. Learning about the existence of a Primal Beast on the island, the crew is shocked to discover a letter from Katalina announcing her resignation.

While Gran heads off to find their former comrade, Eugen and Rackam decide to investigate the Imperial presence on the island, suspecting a more sinister scheme lying up the Empire's sleeve.

[Written by MAL Rewrite]",tv,game,"Action, Adventure, Fantasy",MAPPA
Heroman,26,6.84,5856.0,3878,2010-04-01,2010-09-23,2010.0,"In California's Center City, shy but kindhearted Joseph Carter ""Joey"" Jones lives with his grandmother, working in a coffee shop. Though his family is financially burdened and he is bullied at school, he remains cheerful. A robotics enthusiast, he wants a top-of-the-line toy robot called a Heybo more than anything.

One day Joey and his friend Simon ""Psy"" Kaina come across a destroyed Heybo discarded by a group of rich kids. He takes it home and repairs it himself, excitedly naming it Heroman. However, one night Heroman is struck by lightning and comes to life, growing several times its size in the process.

That same night Center City is attacked by aliens called Skrugg whose attention was brought to Earth after Joey's acquaintance Professor Matthew Denton made attempts to contact them. Along with Joey, Heroman quickly heads to the scene of the attack, where he finds people in trouble, including his friend Lina Davis and her father. Using an arm-mounted controller, Joey is able to command Heroman to use superpowers to fight off the Skrugg and rescue civilians. As the aliens continue their invasion of Earth, the duo are the only ones separating humanity and destruction.

[Written by MAL Rewrite]",tv,original,"Mecha, Sci-Fi, Super Power",Bones
Otohime Connection,1,5.88,11521.0,13786,1991-12-01,1991-12-01,1991.0,"Special based on the manga by Ooya Kazumi, published in Betsukomi Flower Comics.

An all-male pop group doubles as a detective agency. The cute girl member of the agency is kidnapped when one of the men's past returns to trouble them all in the present.

(Source: sandg-anime)",ova,manga,"Drama, Mystery, Romance, Shoujo","Production I.G, animate Film"
Selection Project,13,7.3,3205.0,3625,2021-10-01,2021-12-24,2021.0,"Due to a weak heart, Suzune Miyama has remained bedridden for most of her childhood. However, despite her illness, she has always dreamed of becoming an idol. Eventually, her opportunity comes in the form of the seventh Selection Project—a brutal series of competitions best known as the starting point of the legendary idol Akari Amasawa.

Anxious but excited, Suzune enters the preliminary round of Selection Project. Though her singing dazzles the judges and her fellow competitors, Suzune is unfortunately overcome by her nerves and freezes up in the middle of her performance. She recovers quickly, but the stumble is great enough that she loses the winning spot and is disqualified.

Or so it seems—until Seira Kurusu, the girl Suzune lost to, announces that she plans to drop out of Selection Project, believing Suzune is a more talented singer and therefore deserves the right to compete. Suzune is caught off guard by the decision, but promises Seira that they will meet again as top idols. She prepares herself for the challenging obstacles that lie ahead.

[Written by MAL Rewrite]",tv,mixed_media,"Idols (Female), Music",Doga Kobo
Cestvs: The Roman Fighter,11,5.95,11131.0,5305,2021-04-15,2021-06-24,2021.0,"In the year 54 AD, 15-year-old slave fighter Cestvs desires one thing—an escape from his violent life. It is the wish Cestvs' owner has promised to grant him, but only after he wins 100 battles. However, Cestvs quickly comes to terms with the fact that, as a slave, his life is expendable. After the death of his friend, the possibility of freedom is the only thing keeping him going. With a burning ambition to attain it, Cestvs embarks on a journey to earn himself back, even if it means fighting other slaves for the entertainment of the public.

[Written by MAL Rewrite]",tv,manga,"Combat Sports, Drama, Historical, Seinen, Sports",Bandai Namco Pictures
